Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Tradenames,Manufacturers,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,References,Correspondence Address,Editors,Sponsors,Publisher,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Kerr R.A.","57196586790;","Buildup to quakes spied in both model and real world",2012,"Science","338","6114",,"1523","",,,"10.1126/science.338.6114.1523-a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872013170&doi=10.1126%2fscience.338.6114.1523-a&partnerID=40&md5=7d9d5f2ec8be9f5a208ed27b1bae1a1b",,"Kerr, R.A.",[No abstract available],,"fault zone; geophysical survey; numerical model; research work; seismology; slip rate; computer model; conference paper; earthquake; human; Japan; priority journal; scientist; astronomy; microclimate; note; United States; waste water; carbon dioxide; water; Dry Ice; Earthquakes; Extraterrestrial Environment; Mars; Oklahoma; Waste Water; Water",,"carbon dioxide, 124-38-9, 58561-67-4; water, 7732-18-5; Dry Ice; Waste Water; Water, 7732-18-5",,,,,,,,,,,,,,,"Kerr, R.A.",,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"23258863","English","Science",Conference Paper,"Final","",Scopus,2-s2.0-84872013170
"Thorsteinsdóttir H., Sáenz T.W.","8446072100;6603167293;","Tackling meningitis in Africa",2012,"Science","338","6114",,"1546","1547",,3,"10.1126/science.1233318","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871464678&doi=10.1126%2fscience.1233318&partnerID=40&md5=3fa0021a12eabe236096194346137a1a","Small Globe, Toronto, ON, Canada; Centre for Sustainable Development, University of Brasilia, Brasilia, Brazil","Thorsteinsdóttir, H., Small Globe, Toronto, ON, Canada; Sáenz, T.W., Centre for Sustainable Development, University of Brasilia, Brasilia, Brazil","How did two Latin American countries harness their scientific strengths to address a major medical problem in Africa?",,"meningitis vaccine; Meningococcus vaccine; disease incidence; disease spread; fungus; infectivity; meningitis; science and technology; steroid; technological development; vaccine; World Health Organization; Africa; drug contamination; drug cost; drug industry; epidemic; health care system; human; meningitis; priority journal; short survey; Africa south of the Sahara; article; Brazil; Cuba; developing country; economics; epidemic meningitis; immunology; international cooperation; Neisseria meningitidis; organization; Brazil; Cuba; Ethiopia; Senegal; United States; Academies and Institutes; Africa South of the Sahara; Brazil; Cuba; Developing Countries; Drug Costs; Humans; International Cooperation; Meningitis, Meningococcal; Meningococcal Vaccines; Neisseria meningitidis, Serogroup A; Neisseria meningitidis, Serogroup C",,"Meningococcal Vaccines",,,,,,,,,,,,,,"(2012) Multistate Fungal Meningitis Outbreak - Current Case, , CDC, Centers for Disease Control and Prevention, Atlanta, GA; WHO, in Fact Sheet Number 141 (World Health Organization, Geneva, 2011); (2007) Africa: Fighting Meningitis A Race Against Time, , www.irinnews.org/fr/Report/70740/AFRICAFighting-meningitis-a-race- against-time; Sáenz, T.W., Souza-Paula, M.C., Ray, M., Thorsteinsdóttir, H., (2012) South-South Collaboration in Health Biotechnology: Growing Partnerships Amongst Developing Countries, , H. Thorsteinsdóttir, Ed. International Development Research Centre and Academic Foundation, Ottawa; Thorsteinsdóttir, H., Sáenz, T.W., Quach, U., Daar, A.S., Singer, P.A., (2004) Nat. Biotechnol., 22 (SUPPL.), pp. DC19; Reid-Henry, S.M., (2010) The Cuban Cure, , Univ. of Chicago Press, Chicago; Ferrer, M., Thorsteinsdóttir, H., Quach, U., Singer, P.A., Daar, A.S., (2004) Nat. Biotechnol., 22 (SUPPL.), pp. DC8; Rezaie, R., (2008) Nat. Biotechnol., 26, p. 627; Sotolongo Padron, F., (2007) MEDICC Rev., 9, p. 18; Grogg, P., (2010) Cuba, Brazil Unite for Africa's Health, , South-South Solutions, Media Briefs, UNDP and Inter Press Service News Agency; (2012), http://cooperacaotripartitehaiti.tumblr.com; Brautigam, D., (2009) The Dragon's Gift, , Oxford Univ. Press, Oxford; Kapoor, A.K., Singer, P., Wong, J., Thorsteinsdóttir, H., (2012) South-South Collaboration in Health Biotechnology: Growing Partnerships Amongst Developing Countries, pp. 233-268. , H. Thorsteinsdottir, Ed. International Development Research Centre and Academic Foundation, Ottawa and New Delhi; (2010) Development Cooperation for the MDGs: Maximizing Results, , UNDESA, United Nations Department of Economic and Social Affairs, New York; Love, P., Development aid drops for the first time in 15 years (2012) OECD Insights, , http://oecdinsights.org/2012/04/04/development-aid-drops-for-the- firsttime-in-15-years/","Thorsteinsdóttir, H.; Small Globe, Toronto, ON, Canada; email: halla@smallglobe.org",,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"23258878","English","Science",Short Survey,"Final","",Scopus,2-s2.0-84871464678
"Cho A.","35200363400;","The discovery of the Higgs boson",2012,"Science","338","6114",,"1524","1525",,8,"10.1126/science.338.6114.1524","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871464439&doi=10.1126%2fscience.338.6114.1524&partnerID=40&md5=cd7b1bd6879be75fd7a26ac506d60520",,"Cho, A.",[No abstract available],,"particle motion; physical science; research and development; science and technology; technological development; atom; chemical interaction; electromagnetic field; electron; Higgs boson; physics; priority journal; radioactivity; science; short survey; Switzerland",,,,,,,,,,,,,,,,,"Cho, A.",,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Science",Short Survey,"Final","",Scopus,2-s2.0-84871464439
"Awoyemi S.M., Gosler A.G., Ho I., Schaefer J., Chong K.Y.","24491628200;7004569732;55534201300;26422569000;36080482100;","Mobilizing religion and conservation in Asia",2012,"Science","338","6114",,"1537","1538",,1,"10.1126/science.338.6114.1537-b","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871458858&doi=10.1126%2fscience.338.6114.1537-b&partnerID=40&md5=2bf67218c8ba0b4add8ac3b35cb56785","Department of Science, Advanced Breed Comprehensive College, Sagamu, Ogun, Nigeria; Department of Zoology, Oxford University, Oxford, OX1 3PS, United Kingdom; Wildlife Department, Humane Society International, Washington, DC 20037, United States; Department of Theology, Marquette University, Milwaukee, WI 53201-1881, United States; Department of Biological Sciences, National University of Singapore, Singapore, 117543, Singapore","Awoyemi, S.M., Department of Science, Advanced Breed Comprehensive College, Sagamu, Ogun, Nigeria; Gosler, A.G., Department of Zoology, Oxford University, Oxford, OX1 3PS, United Kingdom; Ho, I., Wildlife Department, Humane Society International, Washington, DC 20037, United States; Schaefer, J., Department of Theology, Marquette University, Milwaukee, WI 53201-1881, United States; Chong, K.Y., Department of Biological Sciences, National University of Singapore, Singapore, 117543, Singapore",[No abstract available],,"Asia; domestic animal; ecology; endangered species; environmental planning; environmental protection; government; human; letter; priority journal; religion; Singapore; wildlife",,,,,,,,,,,,,,,,"Awoyemi, S.M., (2012) Religion and Conservation Research Collaborative (RCRC) of the Religion and Conservation Biology Working Group (RCBWG) Society for Conservation Biology (SCB) Position on the Religious Practice of Releasing Captive Wildlife for Merit, , www.conbio.org/policy/religion-and-conservation-biology-working-group- policy-position-on-the-rele; (2012) International Symposium on Buddhist Animal Release and Protecting Life, September 25-26, Taipei, Taiwan, , www.forest.gov.tw/public/Attachment/29281045671.pdf, Environment and Animal Society of Taiwan, Humane Society International, American Buddhist Confederation, Taiwan's Department of Agriculture, in Chinese; Chong, K.Y., (2011) Animal Release: Science, Compassion and Religion, , http://wildsingaporenews.blogspot.com/2011/05/animal-release-science- compassion-and.html","Awoyemi, S.M.; Department of Science, Advanced Breed Comprehensive College, Sagamu, Ogun, Nigeria; email: sawoyemi@gmail.com",,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"23258872","English","Science",Letter,"Final","All Open Access, Green",Scopus,2-s2.0-84871458858
"Clery D.","7004604600;","NIF report asks for more time to achieve ignition",2012,"Science","338","6114",,"1519","",,5,"10.1126/science.338.6114.1519","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871455257&doi=10.1126%2fscience.338.6114.1519&partnerID=40&md5=4c7a75615472da9c580845f94aff2e37",,"Clery, D.",[No abstract available],,"governance approach; laboratory method; uncertainty analysis; atomic bomb; chemical reaction; combustion; cost; funding; government; human; priority journal; scientist; short survey; time; California; United States",,,,,,,,,,,,,,,,,"Clery, D.",,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Science",Short Survey,"Final","",Scopus,2-s2.0-84871455257
"Gibbons A.","24174435400;","An Annus Horribilis for anthropology?",2012,"Science","338","6114",,"1520","",,3,"10.1126/science.338.6114.1520","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871455194&doi=10.1126%2fscience.338.6114.1520&partnerID=40&md5=942d55c25ecc03e26c0dd0456edcd00f",,"Gibbons, A.",[No abstract available],,"anthropology; science and technology; unemployment; university sector; anthropology; archeology; education; government; graduate; human; information system; job experience; priority journal; professional standard; psychology; school; short survey; training; undergraduate student; unemployment; work; decision making; education; employment; manpower; note; salary and fringe benefit; Florida [United States]; United States; Anthropology; Career Choice; Employment; Humans; Salaries and Fringe Benefits",,,,,,,,,,,,,,,,,"Gibbons, A.",,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"23258858","English","Science",Short Survey,"Final","",Scopus,2-s2.0-84871455194
"Tao Y.J., Zheng W.","55488841900;49964933100;","Visualizing the influenza genome",2012,"Science","338","6114",,"1545","1546",,,"10.1126/science.1231588","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871455087&doi=10.1126%2fscience.1231588&partnerID=40&md5=1aa95efe85ddb057898b484f77db5bfd","Department of Biochemistry and Cell Biology, Rice University, Houston, TX 77005, United States","Tao, Y.J., Department of Biochemistry and Cell Biology, Rice University, Houston, TX 77005, United States; Zheng, W., Department of Biochemistry and Cell Biology, Rice University, Houston, TX 77005, United States","The viral RNA in influenza virus forms helical hairpin structures in complex with several proteins.",,"double stranded DNA; single stranded RNA; virus nucleoprotein; ribonucleoprotein; RNA directed RNA polymerase; virus protein; virus RNA; genome; influenza; protein; RNA; virus; visualization; crystal structure; electron microscopy; gene structure; human; Influenza virus; Influenza virus A; nonhuman; priority journal; protein RNA binding; RNA transcription; short survey; viral genetics; virus replication; virus transcription; animal; chemistry; Influenza virus A H1N1; note; ultrastructure; virion; virus replication; Orthomyxoviridae; Animals; Influenza A Virus, H1N1 Subtype; Ribonucleoproteins; RNA Replicase; RNA, Viral; Viral Proteins; Virion; Virus Replication",,"RNA directed RNA polymerase, 9026-28-2; RNA Replicase, 2.7.7.48; RNA, Viral; Ribonucleoproteins; Viral Proteins",,,,,,,,,,,,,,"Arranz, R., (2012) Science, 338, p. 1634. , 10.1126/science.1228172; Moeller, A., (2012) Science, 338, p. 1631. , 10.1126/science.1227270; Ye, Q., Krug, R.M., Tao, Y.J., (2006) Nature, 444, p. 1078; Ruigrok, R.W., Baudin, F., (1995) J. Gen. Virol., 76, p. 1009; Resa-Infante, P., (2011) RNA Biol., 8, p. 207; Egelman, E.H., (2007) Curr. Opin. Struct. Biol., 17, p. 556","Tao, Y.J.; Department of Biochemistry and Cell Biology, Rice University, Houston, TX 77005, United States; email: ytao@rice.edu",,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"23180772","English","Science",Short Survey,"Final","",Scopus,2-s2.0-84871455087
"Davidson L.N.K.","55534859000;","Shark sanctuaries: Substance or spin?",2012,"Science","338","6114",,"1538","1539",,26,"10.1126/science.338.6114.1538","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871454773&doi=10.1126%2fscience.338.6114.1538&partnerID=40&md5=8a760b67b25e23e87ef17c2e1cdbf712","Earth to Ocean Research Group, Department of Biological Sciences, Simon Fraser University, Burnaby, BC, V5A 1S6, Canada","Davidson, L.N.K., Earth to Ocean Research Group, Department of Biological Sciences, Simon Fraser University, Burnaby, BC, V5A 1S6, Canada",[No abstract available],,"environmental monitoring; environmental protection; fishing; law; letter; Maldives; marine environment; mortality; nonhuman; priority journal; shark",,,,,,,,,,,,,,,,"Escobar, K., (2011) Leaders Launch New Shark Conservation Effort, , www.pewenvironment.org/news-room/press-releases/leaders-launch-new-shark- conservation-effort-85899364288; Brittin, R., Venezuela ends shark finning, creates protected area The Pew Charitable Trusts, 2012. , www.pewenvironment.org/news-room/press-releases/venezuela-ends-shark- finning-creates-protected-area-85899376580; Braun, D., Marshall Islands declare world's largest shark sanctuary (2011) National Geographic, , 3 October; Tokalau, T., No shark sanctuary in Fiji (2012) The Fiji Times, , 13 August; Dulvy, N.K., (2008) Aquat. Conserve. Mar. Freshwater Ecosyst., 18, p. 459; Stevens, J.D., Bonfil, R., Dulvy, N.K., Walker, P.A., (2000) ICES J. Mar. Sci., 57, p. 476; Appelbaum, J., (2011) Republic of the Marshall Islands Shark Sanctuary, , Marshall Islands Marine Resources Authority; (2009) Maldives Imposes Shark Hunting Ban, , Republic of Maldives, Ministry of Fisheries and Agriculture, The President's Office; Main, D., Venezuela shark finning ban announced as country establishes sanctuary (2012) The Huffington Post, , 22 June; Robbins, W.D., Hisano, M., Connolly, S.R., Choat, J.H., (2006) Curr. Biol., 16, p. 2314; Heupel, M.R., (2009) Fish. Res., 95, p. 350; Turagaiviu, E., Shark sanctuary not good for Fiji (2012) Fiji News, , 13 August","Davidson, L.N.K.; Earth to Ocean Research Group, Department of Biological Sciences, Simon Fraser University, Burnaby, BC, V5A 1S6, Canada; email: ldavidso@sfu.ca",,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"23258873","English","Science",Letter,"Final","",Scopus,2-s2.0-84871454773
"Qi X.-L.","8250038200;","Symmetry meets topology",2012,"Science","338","6114",,"1550","1551",,6,"10.1126/science.1232394","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871453359&doi=10.1126%2fscience.1232394&partnerID=40&md5=2459f9eaa66b5c4133318c5f591ae198","Department of Physics, Stanford University, Stanford, CA 94305, United States","Qi, X.-L., Department of Physics, Stanford University, Stanford, CA 94305, United States","A unified theory may describe both the persistent spin of electrons and the design of novel materials.",,"ferromagnetic material; amplitude; design; electron; persistence; quantum mechanics; topology; wave field; dynamics; electron; priority journal; quantum mechanics; rotation; short survey; structure analysis",,,,,,,,,,,,,,,,"Chen, X., Gu, Z.-C., Liu, Z.-X., Wen, X.-G., (2012) Science, 338, p. 1604; Haldane, F.D.M., (1983) Phys. Lett. A, 93, p. 464; Hasan, M.Z., Kane, C.L., (2010) Rev. Mod. Phys., 82, p. 3045; Moore, J.E., (2010) Nature, 464, p. 194; Qi, X.-L., Zhang, S.-C., (2011) Rev. Mod. Phys., 83, p. 1057; Fidkowski, L., Kitaev, A., (2011) Phys. Rev. B, 83, p. 075103; Turner, A.M., Pollmann, F., Berg, E., (2011) Phys. Rev. B, 83, p. 075102; Chen, X., Gu, Z.-C., Wen, X.-G., (2011) Phys. Rev. B, 83, p. 035107; Z.-C. Gu, X.-G. Wen, arXiv:1201.2648 (2012)","Qi, X.-L.; Department of Physics, Stanford University, Stanford, CA 94305, United States; email: xlqi@stanford.edu",,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Science",Short Survey,"Final","",Scopus,2-s2.0-84871453359
"Shepherd A.","36842807800;","A reconciled estimate of ice-sheet mass balance (Science (1183))",2012,"Science","338","6114",,"1539","",,5,"10.1126/science.338.6114.1539-a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871448839&doi=10.1126%2fscience.338.6114.1539-a&partnerID=40&md5=339a56e5160a2dd9d6c703202884f4de",,"Shepherd, A.",[No abstract available],,"erratum; error; priority journal",,,,,,,,,,,,,,,,,"Shepherd, A.",,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Science",Erratum,"Final","",Scopus,2-s2.0-84871448839
