Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Tradenames,Manufacturers,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,References,Correspondence Address,Editors,Sponsors,Publisher,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
[No author name available],[No author id available],"Erratum: Nonlocal transport in the quantum spin Hall state (Science (2009) (294))",2010,"Science","330","6012",,"1746","",,,"10.1126/science.330.6012.1746","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650671149&doi=10.1126%2fscience.330.6012.1746&partnerID=40&md5=5a82f266bac2c602d47c73a5b296135e",,"",[No abstract available],,"erratum; error; priority journal",,,,,,,,,,,,,,,,,,,,,,,,,00368075,,SCIEA,,"English","Science",Erratum,"Final","",Scopus,2-s2.0-78650671149
"Métin C., Luccardini C.","6603398188;7801365885;","Ubiquitination inhibits neuronal exit",2010,"Science","330","6012",,"1754","1755",,1,"10.1126/science.1200475","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650667687&doi=10.1126%2fscience.1200475&partnerID=40&md5=5c4188cbef1b5c248e78dd9b4148e9eb","Institut du Fer à Moulin, INSERM U839, 75005 Paris, France","Métin, C., Institut du Fer à Moulin, INSERM U839, 75005 Paris, France; Luccardini, C., Institut du Fer à Moulin, INSERM U839, 75005 Paris, France",[No abstract available],,"protein kinase C; ubiquitin protein ligase; cell adhesion molecule; immunoglobulin; Jam3 protein, mouse; nuclear protein; Pard3 protein, mouse; seven in absentia proteins; ubiquitin protein ligase; experimental study; molecular analysis; neurology; brain development; cell migration; cell proliferation; central nervous system; cerebellum; gene overexpression; granule cell; human; nerve cell; neuroanatomy; phosphorylation; priority journal; protein expression; short survey; ubiquitination; animal; cell adhesion; cell motion; cerebellum; cytology; metabolism; morphogenesis; mouse; note; PDZ domain; physiology; prenatal development; protein binding; stem cell; ubiquitination; Animals; Cell Adhesion; Cell Adhesion Molecules; Cell Movement; Cerebellum; Immunoglobulins; Mice; Morphogenesis; Neurons; Nuclear Proteins; PDZ Domains; Protein Binding; Stem Cells; Ubiquitin-Protein Ligases; Ubiquitination",,"protein kinase C, 141436-78-4; ubiquitin protein ligase, 134549-57-8; immunoglobulin, 9007-83-4; Cell Adhesion Molecules; Immunoglobulins; Jam3 protein, mouse; Nuclear Proteins; Pard3 protein, mouse; Ubiquitin-Protein Ligases, 6.3.2.19; seven in absentia proteins, 6.3.2.19",,,,,,,,,,,,,,"Famulski, J.K., (2010) Science, 330, p. 1834; Lobert, V.H., (2010) Dev. Cell., 19, p. 148; Chen, Y., (2009) Mol. Cell., 35, p. 841; Feng, L., Allen, N.S., Simo, S., Cooper, J.A., (2007) Genes Dev., 21, p. 2717; House, C.M., (2003) Proc. Natl. Acad. Sci. U. S. A, 100, p. 3101; Etienne-Manneville, S., (2008) Oncogene, 27, p. 6970; Solecki, D.J., (2004) Nat. Neurosci., 7, p. 1195; Solecki, D.J., (2009) Neuron, 63, p. 63; Mandicourt, G., (2007) J. Biol. Chem., 282, p. 1830; Chédotal, A., (2010) Trends Neurosci., 33, p. 163; Métin, C., Vallee, R.B., Rakic, P., Bhide, P.G., (2008) J. Neurosci., 28, p. 11746; Renaud, J., (2008) Nat. Neurosci., 11, p. 440","Métin, C.; Institut du Fer à Moulin, , 75005 Paris, France; email: christine.metin@inserm.fr",,,,,,,,00368075,,SCIEA,"21205656","English","Science",Short Survey,"Final","",Scopus,2-s2.0-78650667687
"Wu X., Ruvkun G.","57207326680;7005093380;","Germ cell genes and cancer",2010,"Science","330","6012",,"1761","1762",,12,"10.1126/science.1200772","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650666514&doi=10.1126%2fscience.1200772&partnerID=40&md5=fca7c7fbfac2efa9544b150f9b16e3ed","Department of Molecular Biology, Massachusetts General Hospital, Boston, MA 02114, United States; Department of Genetics, Harvard Medical School, Boston, MA 02115, United States","Wu, X., Department of Molecular Biology, Massachusetts General Hospital, Boston, MA 02114, United States, Department of Genetics, Harvard Medical School, Boston, MA 02115, United States; Ruvkun, G., Department of Molecular Biology, Massachusetts General Hospital, Boston, MA 02114, United States, Department of Genetics, Harvard Medical School, Boston, MA 02115, United States",[No abstract available],,"tumor suppressor protein; DEAD box protein; Drosophila protein; nanos protein, Drosophila; RNA binding protein; small interfering RNA; small untranslated RNA; vas protein, Drosophila; cancer; cytology; germ cell; brain cancer; brain tumor; cancer cell; cancer genetics; cell division; Drosophila melanogaster; gene expression profiling; germ cell; nonhuman; priority journal; short survey; transposon; animal; brain; brain tumor; Caenorhabditis elegans; cell transformation; Drosophila melanogaster; gene; gene expression regulation; genetics; growth, development and aging; human; metabolism; note; pathology; physiology; Animals; Brain; Brain Neoplasms; Caenorhabditis elegans; Cell Transformation, Neoplastic; DEAD-box RNA Helicases; Drosophila melanogaster; Drosophila Proteins; Gene Expression Profiling; Gene Expression Regulation, Neoplastic; Genes, Helminth; Genes, Insect; Germ Cells; Humans; RNA, Small Interfering; RNA, Small Untranslated; RNA-Binding Proteins",,"DEAD-box RNA Helicases, 3.6.1.-; Drosophila Proteins; RNA, Small Interfering; RNA, Small Untranslated; RNA-Binding Proteins; nanos protein, Drosophila, 142661-95-8; vas protein, Drosophila, 3.6.1.-",,,,,,,,,,,,,,"Janic, A., Mendizabal, L., Llamazares, S., Rossell, D., Gonzalez, C., (2010) Science, 330, p. 1824; Strome, S., Lehmann, R., (2007) Science, 316, p. 392; Ghildiyal, M., Zamore, P.D., (2009) Nat. Rev. Genet., 10, p. 94; Lewis, P.W., Beall, E.L., Fleischer, T.C., Georlette, D., Link, A.J., Botchan, M.R., (2004) Genes Dev., 18, p. 2929; Georlette, D., Ahn, S., MacAlpine, D.M., Cheung, E., Lewis, P.W., Beall, E.L., Bell, S.P., Botchan, M.R., (2007) Genes Dev., 21, p. 2880; Unhavaithaya, Y., Shin, T.H., Miliaras, N., Lee, J., Oyama, T., Mello, C.C., (2002) Cell., 111, p. 991; Wang, D., Kennedy, S., Conte Jr., D., Kim, J.K., Gabel, H.W., Kamath, R.S., Mello, C.C., Ruvkun, G., (2005) Nature, 436, p. 593; Caballero, O.L., Chen, Y.T., (2009) Cancer Sci., 100, p. 2014; Simpson, A.J., Caballero, O.L., Jungbluth, A., Chen, Y.T., Old, L.J., (2005) Nat. Rev. Cancer, 5, p. 615; Rebscher, N., Zelada-González, F., Banisch, T.U., Raible, F., Arendt, D., (2007) Dev. Biol., 306, p. 599; Shibata, N., Rouhana, L., Agata, K., (2010) Dev. Growth Differ, 52, p. 27; Extavour, C.G., Pang, K., Matus, D.Q., Martindale, M.Q., (2005) Evol. Dev., 7, p. 201; Lee, J.H., Schütte, D., Wulf, G., Füzesi, L., Radzun, H.-J., Schweyer, S., Engel, W., Hum, K.N., (2005) Mol. Genet., 15; Van Den Heuvel, S., Dyson, N.J., (2008) Nat. Rev. Mol. Cell. Biol., 9, p. 713; Cui, M., Kim, E.B., Han, M., (2006) PLoS Genet., 2, pp. e74; Andersen, E.C., Lu, X., Horvitz, H.R., (2006) Development, 133, p. 2695; Kim, J.K., Gabel, H.W., Kamath, R.S., Tewari, M., Pasquinelli, J.-F., (2005) Science, 308, p. 1164; Takasaki, T., Liu, Z., Habara, Y., Nishiwaki, K., Nakayama, J.-I., Inoue, K., Sakamoto, H., Strome, S., (2007) Development, 134, p. 757; Vastenhouw, N.L., Brunschwig, K., Okihara, K.L., Müller, F., Tijsterman, M., Plasterk, R.H.A., (2006) Nature, 442, p. 882","Wu, X.; Department of Molecular Biology, , Boston, MA 02114, United States; email: wux@molbio.mgh.harvard.edu",,,,,,,,00368075,,SCIEA,"21205660","English","Science",Short Survey,"Final","",Scopus,2-s2.0-78650666514
"Perrings C., Naeem S., Ahrestani F., Bunker D.E., Burkill P., Canziani G., Elmqvist T., Ferrati R., Fuhrman J., Jasic F., Kawabata Z., Kinzig A., Mace G.M., Milano F., Mooney H., Prieur Richard A.-H., Tschirhart J., Weisser W.","7003508625;7005807983;36553974300;9237661100;7003549798;8632831700;6701768312;8603616300;7005084204;37070653300;35597584400;7004080525;7006595259;16029135400;7006677714;6603278408;6701726058;7004605030;","Response",2010,"Science","330","6012",,"1745","",,2,"10.1126/science.330.6012.1745","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650664792&doi=10.1126%2fscience.330.6012.1745&partnerID=40&md5=d36db72d7d6ab9de23fb92c35956d369","School of Life Sciences, Arizona State University, Tempe, AZ 85287, United States; Department of Ecology, Evolution, and Environmental Biology, Columbia University, New York, NY 10027, United States; Department of Biological Sciences, New Jersey Institute of Technology, Newark, NJ 07102, United States; Sir Alister Hardy Foundation for Ocean Science, Plymouth PL1 2PB, United Kingdom; Instituto Multidisciplinario Sobre, Ecosistemas y Desarrollo Sustentable, Universidad Nacional del Centro, Argentina; Resilience Centre, Stockholm University, SE-106 91 Stockholm, Sweden; Department of Biological Sciences, University of Southern California, Los Angeles, CA 90089, United States; Centro de Estudios Avanzados en Ecologia y Biodiversidad, Pontificia Universidad Católica de Chile, Chile; Center for Ecological Research, Kyoto University, Japan; Centre for Population Biology, Imperial College London, Ascot SL5 7PY, United Kingdom; Department of Biology, Stanford University, Stanford, CA 94305, United States; DIVERSITAS, Muséum National d'Histoire Naturelle, 75231 Paris Cedex 05, France; Department of Economics and Finance, University of Wyoming, Laramie, WY 82071, United States; Institut für Ökologie, Friedrich-Schiller-Universität, Jena 07743, Germany","Perrings, C., School of Life Sciences, Arizona State University, Tempe, AZ 85287, United States; Naeem, S., Department of Ecology, Evolution, and Environmental Biology, Columbia University, New York, NY 10027, United States; Ahrestani, F., Department of Ecology, Evolution, and Environmental Biology, Columbia University, New York, NY 10027, United States; Bunker, D.E., Department of Biological Sciences, New Jersey Institute of Technology, Newark, NJ 07102, United States; Burkill, P., Sir Alister Hardy Foundation for Ocean Science, Plymouth PL1 2PB, United Kingdom; Canziani, G., Instituto Multidisciplinario Sobre, Ecosistemas y Desarrollo Sustentable, Universidad Nacional del Centro, Argentina; Elmqvist, T., Resilience Centre, Stockholm University, SE-106 91 Stockholm, Sweden; Ferrati, R., Instituto Multidisciplinario Sobre, Ecosistemas y Desarrollo Sustentable, Universidad Nacional del Centro, Argentina; Fuhrman, J., Department of Biological Sciences, University of Southern California, Los Angeles, CA 90089, United States; Jasic, F., Centro de Estudios Avanzados en Ecologia y Biodiversidad, Pontificia Universidad Católica de Chile, Chile; Kawabata, Z., Center for Ecological Research, Kyoto University, Japan; Kinzig, A., School of Life Sciences, Arizona State University, Tempe, AZ 85287, United States; Mace, G.M., Centre for Population Biology, Imperial College London, Ascot SL5 7PY, United Kingdom; Milano, F., Instituto Multidisciplinario Sobre, Ecosistemas y Desarrollo Sustentable, Universidad Nacional del Centro, Argentina; Mooney, H., Department of Biology, Stanford University, Stanford, CA 94305, United States; Prieur Richard, A.-H., DIVERSITAS, Muséum National d'Histoire Naturelle, 75231 Paris Cedex 05, France; Tschirhart, J., Department of Economics and Finance, University of Wyoming, Laramie, WY 82071, United States; Weisser, W., Institut für Ökologie, Friedrich-Schiller-Universität, Jena 07743, Germany",[No abstract available],,"agriculture; biodiversity; ecosystem; environmental planning; environmental protection; environmental sustainability; letter; policy; priority journal",,,,,,,,,,,,,,,,"(2005) Ecosystems and Human Well-being: General Synthesis, , Millennium Ecosystem Assessment, Island Press, Washington, DC; Arrow, K.J., Fisher, A., (1974) Q. J. Econ., 88, p. 312; Conrad, J.M., (1980) Q. J. Econ., 94, p. 813; Fisher, A.C., Hanemann, W.M., (1986) Nat. Res. Model, 1, p. 111; Sachs, J.D., (2009) Science, 325, p. 1502; (2010), www.cbd.int/nagoya/outcomes, COP 10, Nagoya","Perrings, C.; School of Life Sciences, , Tempe, AZ 85287, United States; email: charles.perrings@asu.edu",,,,,,,,00368075,,SCIEA,,"English","Science",Letter,"Final","",Scopus,2-s2.0-78650664792
"Bridson R., Batty C.","18433247300;13204527100;","Computational physics in film",2010,"Science","330","6012",,"1756","1757",,9,"10.1126/science.1198769","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650664556&doi=10.1126%2fscience.1198769&partnerID=40&md5=16c76ee46db473ae81edca8ae8aea2ae","Department of Computer Science, University of British Columbia, 201-2366 Main Mall, Vancouver, BC V6T 1Z4, Canada; Exotic Matter AB, Svardvagen 7, 182 33 Danderyd, Sweden; Weta Digital Ltd., 9-11 Manuka Street, Miramar, Wellington, 6022, New Zealand","Bridson, R., Department of Computer Science, University of British Columbia, 201-2366 Main Mall, Vancouver, BC V6T 1Z4, Canada, Exotic Matter AB, Svardvagen 7, 182 33 Danderyd, Sweden, Weta Digital Ltd., 9-11 Manuka Street, Miramar, Wellington, 6022, New Zealand; Batty, C., Department of Computer Science, University of British Columbia, 201-2366 Main Mall, Vancouver, BC V6T 1Z4, Canada",[No abstract available],,"algorithm; computational fluid dynamics; film; numerical model; physics; visualization; accuracy; calculation; computer program; computer simulation; elasticity; film; mathematical analysis; mathematical model; phenomenology; physics; priority journal; short survey; volumetry",,,,,,,,,,,,,,,,"Kaufman, D.M., Sueda, S., James, D.L., Pai, D.K., (2008) ACM Trans. Graph, 27. , 10.1145/1457515.1409117; McAdams, A., Selle, A., Ward, K., Sifakis, E., Teran, J., (2009) ACM Trans. Graph. H, 28. , 10.1145/1531326.1531368; Kaldor, J.M., James, D.L., Marschner, S., (2010) ACM Trans. Trans. Graph, 29. , 10.1145/1778765.1778842; English, E., Bridson, R., (2008) A. C. M. Trans. Graph, 27. , 10.1145/1360612.1360665; Lee, S.-H., Sifakis, E., Terzopoulos, D., (2009) ACM Trans. Graph, 28. , 10.1145/1559755.1559756; O'Brien, J., Hodgins, J., (1999) Proc. SIGGRAPH, 18, pp. 137-146. , ACM, New York; Molino, N., Bao, Z., Fedkiw, R., (2004) ACM Trans. Graph, 23, p. 385; Kaufmann, P., Martin, S., Botsch, M., Grinspun, E., Gross, M., (2009) ACM Trans. Graph, 28. , 10.1145/1531326.1531356; Brochu, T., Batty, C., Bridson, R., (2010) ACM Trans. Graph, 29. , 10.1145/1778765.1778784; Horvath, C., Geiger, W., (2009) ACM Trans. Graph, 28. , 10.1145/1531326.1531347; Zhu, Y., Bridson, R., (2005) ACM Trans. Graph, 24, p. 965; www.youtube.com/watch?v=3pojNrRfJFM; http://people.cs.ubc.ca/~rbridson/movies/NaiadLongboat.mov; Supported in part by a grant from the Natural Sciences and Engineering Research Council of Canada","Bridson, R.; Department of Computer Science, 201-2366 Main Mall, Vancouver, BC V6T 1Z4, Canada; email: rbridson@cs.ubc.ca",,,,,,,,00368075,,SCIEA,,"English","Science",Short Survey,"Final","",Scopus,2-s2.0-78650664556
"Miller G.","34974510500;","CIRM: The good, the bad, and the ugly",2010,"Science","330","6012",,"1742","1743",,2,"10.1126/science.330.6012.1742","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650659987&doi=10.1126%2fscience.330.6012.1742&partnerID=40&md5=98ca2ada146aa7772e1ac53b7d043f01",,"Miller, G.",[No abstract available],,"experimental study; neurology; biotechnology; clinical research; embryonic stem cell; funding; human; medical research; Parkinson disease; priority journal; quality control; regenerative medicine; short survey; stem cell; economics; financial management; legal aspect; note; organization; organization and management; salary and fringe benefit; stem cell research; translational research; United States; Academies and Institutes; Biotechnology; California; Embryonic Stem Cells; Financing, Government; Humans; Research Support as Topic; Salaries and Fringe Benefits; Stem Cell Research; Translational Research; United States",,,,,,,,,,,,,,,,,"Miller, G.",,,,,,,,00368075,,SCIEA,"21205649","English","Science",Short Survey,"Final","",Scopus,2-s2.0-78650659987
"Hedrick P.","7006875567;","Genetic future for Florida panthers",2010,"Science","330","6012",,"1744","",,7,"10.1126/science.330.6012.1744-a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650659752&doi=10.1126%2fscience.330.6012.1744-a&partnerID=40&md5=5c754614a694cc8512d76e88fd9cf8d0","School of Life Sciences, Arizona State University, Tempe, AZ 85287-4501, United States","Hedrick, P., School of Life Sciences, Arizona State University, Tempe, AZ 85287-4501, United States",[No abstract available],,"florida panther; gene translocation; genetic analysis; inbreeding; letter; nonhuman; Panthera; population size; priority journal; sex difference; Puma concolor coryi",,,,,,,,,,,,,,,,"Culver, M., (2008) Anim. Conserv., 11, p. 1045; Hedrick, P.W., Fredrickson, R., (2010) Conserv. Genet., 11, p. 615","Hedrick, P.; School of Life Sciences, , Tempe, AZ 85287-4501, United States; email: philip.hedrick@asu.edu",,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Science",Letter,"Final","",Scopus,2-s2.0-78650659752
"Faith D.P.","7006558480;","Biodiversity transcends services",2010,"Science","330","6012",,"1744","1745",,7,"10.1126/science.330.6012.1744-c","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650658273&doi=10.1126%2fscience.330.6012.1744-c&partnerID=40&md5=d8b8ea12f3a7d91262cb0e8c7035ebad","Australian Museum, Sydney, NSW 2010, Australia","Faith, D.P., Australian Museum, Sydney, NSW 2010, Australia",[No abstract available],,"biodiversity; ecosystem; ecosystem restoration; environmental planning; environmental protection; environmental sustainability; letter; policy; priority journal",,,,,,,,,,,,,,,,"Faith, D.P., (1995) Biodiversity and Regional Sustainability Analysis, , http://australianmuseum.net.au/document/Biodiversity-and-regional- sustainabilityanalysis, CSIRO, Canberra; Faith, D.P., (2005) Glob. Environ. Change Soc. Pol. Dimensions, 15, p. 5; (2009) Targets for Biodiversity Beyond 2010: Research Supporting policy, p. 44. , www.epbrs.org/PDF/Final%20long%20report.pdf, F. Grant, J. Young, P. Bridgewater, A. D. Watt, Eds., Report of e-conference","Faith, D. P.; Australian Museum, Sydney, NSW 2010, Australia; email: danfaith8@yahoo.com.au",,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Science",Letter,"Final","",Scopus,2-s2.0-78650658273
[No author name available],[No author id available],"Erratum: Identifying autism loci and genes by tracing recent shared ancestry (Science (2008) (218))",2010,"Science","330","6012",,"1746","",,,"10.1126/science.330.6012.1746","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650657395&doi=10.1126%2fscience.330.6012.1746&partnerID=40&md5=41e35819d90f6133d143cd4bcb61897c",,"",[No abstract available],,"erratum; error; priority journal",,,,,,,,,,,,,,,,,,,,,,,,,00368075,,SCIEA,,"English","Science",Erratum,"Final","",Scopus,2-s2.0-78650657395
[No author name available],[No author id available],"Erratum: What shall we do with the x-ray laser? (Science (1470))",2010,"Science","330","6012",,"1746","",,,"10.1126/science.330.6012.1746","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650649048&doi=10.1126%2fscience.330.6012.1746&partnerID=40&md5=a2345a35cfd604c326353220dd773795",,"",[No abstract available],,"erratum; error; priority journal",,,,,,,,,,,,,,,,,,,,,,,,,00368075,,SCIEA,,"English","Science",Erratum,"Final","",Scopus,2-s2.0-78650649048
