Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Tradenames,Manufacturers,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,References,Correspondence Address,Editors,Sponsors,Publisher,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Grocholski B.","35362140600;","Getting attached early",2019,"Science","366","6472",,"1468","1469",,,"10.1126/science.366.6472.1468-d","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084375904&doi=10.1126%2fscience.366.6472.1468-d&partnerID=40&md5=a0fd03b7685de55192b497623ca07e46",,"Grocholski, B.",[No abstract available],,"calcium carbonate; carbonic acid; animal shell; biological phenomena and functions concerning the entire organism; biomineralization; crystallization; Note; particle attachment; priority journal; skeleton; species difference; spine",,"calcium carbonate, 13397-26-7, 13701-58-1, 14791-73-2, 471-34-1; carbonic acid, 3812-32-6, 463-79-6",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","All Open Access, Bronze",Scopus,2-s2.0-85084375904
"Funk M.A.","57207944831;","Macrocycles made easy",2019,"Science","366","6472",,"1469B","1469C",,,"10.1126/science.366.6472.1467-q","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084370024&doi=10.1126%2fscience.366.6472.1467-q&partnerID=40&md5=731c53ea631c7a233d85019226912fc5",,"Funk, M.A.",[No abstract available],,"macrocyclic compound; natural product; atom; catalysis; cyclization; molecule; Note; organic chemistry; priority journal; protein structure",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084370024
"Nusinovich Y.","57210032122;","P53 makes a comeback",2019,"Science","366","6472",,"1468","",,,"10.1126/science.366.6472.1467-i","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084368082&doi=10.1126%2fscience.366.6472.1467-i&partnerID=40&md5=d3637329e4963098a5e83e0b1f7f4986",,"Nusinovich, Y.",[No abstract available],,"DNA; messenger RNA; nanoparticle; protein p53; apoptosis; cancer cell line; cytoplasm; gene expression; gene function; gene mutation; hypoxia; malignant neoplasm; Note; priority journal; tumor suppressor gene",,"DNA, 9007-49-2",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084368082
"Yeston J.","57195603975;","A carbonylation path to a nylon precursor",2019,"Science","366","6472",,"1469B","",,,"10.1126/science.366.6472.1467-p","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084365407&doi=10.1126%2fscience.366.6472.1467-p&partnerID=40&md5=231b1f020de4f439590632ee06feba9b",,"Yeston, J.",[No abstract available],,"1,3 butadiene; adipic acid; carbon monoxide; nylon; palladium; phosphine; proton; pyridine; carbonylation; catalysis; Note; priority journal",,"1,3 butadiene, 106-99-0, 25339-57-5; adipic acid, 124-04-9; carbon monoxide, 630-08-0; phosphine, 7803-51-2; proton, 12408-02-5, 12586-59-3; pyridine, 110-86-1",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084365407
"Stajic J.","57189019027;","Chirality by dissipation",2019,"Science","366","6472",,"1469C","",,,"10.1126/science.366.6472.1467-t","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084365115&doi=10.1126%2fscience.366.6472.1467-t&partnerID=40&md5=43ce4a03e75b84a30c92b76557e99fe9",,"Stajic, J.",[No abstract available],,"atom; Bose Einstein condensate; chirality; dissipation; dynamics; light scattering; Note; priority journal; quantum mechanics",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084365115
"Vinson V.","57204455504;","A blood cell protein-expression atlas",2019,"Science","366","6472",,"1469B","",,,"10.1126/science.366.6472.1467-k","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084361661&doi=10.1126%2fscience.366.6472.1467-k&partnerID=40&md5=f1bf705bd75939044c407dd9fe7d7091",,"Vinson, V.",[No abstract available],,"blood cell protein; cell protein; unclassified drug; blood cell; cellular distribution; classification; human; Note; organ; priority journal; protein atlas; protein expression; tissues; transcriptomics",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084361661
"Ash C.","7006283833;","Spying on bacterial signals",2019,"Science","366","6472",,"1469B","",,,"10.1126/science.366.6472.1467-l","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084359299&doi=10.1126%2fscience.366.6472.1467-l&partnerID=40&md5=22ac9358df004b49deeacdea4ec5ff44",,"Ash, C.",[No abstract available],,"cystic fibrosis; host bacterium interaction; human; immune response; nonhuman; Note; population density; priority journal; Pseudomonas aeruginosa; quorum sensing; signal transduction; zebra fish; Bacteria (microorganisms)",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084359299
"Kiberstis P.A.","6603060394;","Attending to tendons",2019,"Science","366","6472",,"1468","",,,"10.1126/science.366.6472.1468-b","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084358489&doi=10.1126%2fscience.366.6472.1468-b&partnerID=40&md5=68be15f5c36956f4a795e202b376ee58",,"Kiberstis, P.A.",[No abstract available],,"platelet derived growth factor alpha receptor; healing; muscle stem cell; myofibrosis; nonhuman; Note; patellar ligament; priority journal; signal transduction; stem cell niche; tendon stem cell; tissue regeneration; tumor microenvironment",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","All Open Access, Bronze",Scopus,2-s2.0-85084358489
"Kiberstis P.A.","6603060394;","A cross-kingdom tale of drug resistance",2019,"Science","366","6472",,"1469B","",,,"10.1126/science.366.6472.1467-n","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084357981&doi=10.1126%2fscience.366.6472.1467-n&partnerID=40&md5=d728a13416d39027851491fb5f5ce336",,"Kiberstis, P.A.",[No abstract available],,"antineoplastic agent; DNA polymerase; bacterium; cell survival; colorectal cancer; colorectal cancer cell line; DNA repair; drug resistance; human; molecularly targeted therapy; mutation; nonhuman; Note; priority journal; upregulation",,"DNA polymerase, 37217-33-7",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084357981
"Stajic J.","57189019027;","A patterned look into a mysterious phase",2019,"Science","366","6472",,"1469B","",,,"10.1126/science.366.6472.1467-o","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084355418&doi=10.1126%2fscience.366.6472.1467-o&partnerID=40&md5=d2d64eea86e3a1b040daf7aaf0a81bf2",,"Stajic, J.",[No abstract available],,"copper oxide; unclassified drug; yttrium barium copper oxide; conductance; high temperature; magnetic field; mysterious phase; Note; physical phase; priority journal",,"copper oxide, 1344-70-3",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084355418
"Grocholski B.","35362140600;","Probing polycrystals' stress",2019,"Science","366","6472",,"1468","",,,"10.1126/science.366.6472.1467-h","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084355290&doi=10.1126%2fscience.366.6472.1467-h&partnerID=40&md5=4a616bf4586f8dc6f781cf02445e765b",,"Grocholski, B.",[No abstract available],,"crystallization; information processing; mechanical stress; methodology; Note; priority journal; X ray",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084355290
"Mao S.","57204452998;","Biochemical prediction of miRNA targeting",2019,"Science","366","6472",,"1469B","",,,"10.1126/science.366.6472.1467-j","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084354486&doi=10.1126%2fscience.366.6472.1467-j&partnerID=40&md5=4486e6704e74a7269f7083533c0cca7c",,"Mao, S.",[No abstract available],,"messenger RNA; microRNA; binding affinity; biochemical analysis; biological model; convolutional neural network; developmental biology; gene function; gene repression; gene targeting; genetic algorithm; measurement accuracy; Note; physiological process; prediction; priority journal; RNA binding",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084354486
"Hines P.J.","7007106302;","Dave versus HAL 9000",2019,"Science","366","6472",,"1469","",,,"10.1126/science.366.6472.1468-f","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084354467&doi=10.1126%2fscience.366.6472.1468-f&partnerID=40&md5=95c5eb11ff204320e420338fff371b7a",,"Hines, P.J.",[No abstract available],,"cooperation; decision making; game; hostility; human; machine; Note; priority journal; reward; robotics",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","All Open Access, Bronze",Scopus,2-s2.0-85084354467
"Wagoner T.","57216707429;","Self-contained, sturdy, and small",2019,"Science","366","6472",,"1467","",,,"10.1126/science.366.6472.1467-a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084352540&doi=10.1126%2fscience.366.6472.1467-a&partnerID=40&md5=7e2c429cbcbf1f9ab8bc62c184d86c0e",,"Wagoner, T.",[No abstract available],,"Note; priority journal; robotics",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084352540
"Osborne I.S.","36874890200;","A guiding path for graphene circuits",2019,"Science","366","6472",,"1469","",,,"10.1126/science.366.6472.1468-g","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084348263&doi=10.1126%2fscience.366.6472.1468-g&partnerID=40&md5=7c1c6feca9576764a4ef34c0ec1ada3f",,"Osborne, I.S.",[No abstract available],,"boron nitride nanotube; carbon nanotube; graphene; electrical parameters; mechanics; Note; physical parameters; priority journal; static electricity",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","All Open Access, Bronze",Scopus,2-s2.0-85084348263
"VanHook A.M.","24402198700;","Metabolic dysregulation into fibrosis",2019,"Science","366","6472",,"1469C","",,,"10.1126/science.366.6472.1467-s","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084348151&doi=10.1126%2fscience.366.6472.1467-s&partnerID=40&md5=fccaa0006fa69dca8a5a09121d71450d",,"VanHook, A.M.",[No abstract available],,"hexokinase; hexokinase 2; transforming growth factor beta; unclassified drug; bioaccumulation; enzyme inhibition; fibrosing alveolitis; glycolysis; human; lung fibroblast; lung fibrosis; lung function; metabolic disorder; nonhuman; Note; priority journal",,"hexokinase, 9001-51-8",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084348151
"Yeston J.","57195603975;","Redox catalysis in a ball mill",2019,"Science","366","6472",,"1467","",,,"10.1126/science.366.6472.1467-c","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084344988&doi=10.1126%2fscience.366.6472.1467-c&partnerID=40&md5=fbbf9b5857a6127fc8c417f490191202",,"Yeston, J.",[No abstract available],,"barium titanate; chemical compound; diazonium compound; unclassified drug; borylation; catalysis; electron transport; Note; oxidation reduction state; piezoelectricity; priority journal",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084344988
"Wilcox C.","57212572534;","Rude reviews are pervasive and sometimes harmful, study finds",2019,"Science","366","6472",,"1433","",,1,"10.1126/science.366.6472.1433","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077135736&doi=10.1126%2fscience.366.6472.1433&partnerID=40&md5=90638818a8f3032e6a319030b930291e",,"Wilcox, C.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"31857461","English","Sci.",Note,"Final","",Scopus,2-s2.0-85077135736
"Schaub T.","8834482600;","Producing adipic acid without the nitrous oxide",2019,"Science","366","6472",,"1447","",,8,"10.1126/science.aaz6459","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077114825&doi=10.1126%2fscience.aaz6459&partnerID=40&md5=c37b1b28e553d4f08624002144ff593c","BASF SE, Organic Synthesis, Carl-Bosch-Str. 8, Ludwigshafen, 67056, Germany; Catalysis Research Laboratory (CaRLa), Im Neuenheimer Feld 584, Heidelberg, 69120, Germany","Schaub, T., BASF SE, Organic Synthesis, Carl-Bosch-Str. 8, Ludwigshafen, 67056, Germany, Catalysis Research Laboratory (CaRLa), Im Neuenheimer Feld 584, Heidelberg, 69120, Germany",[No abstract available],,"1,3 butadiene; adipic acid; cyclohexanol; cyclohexanone; nitrous oxide; nylon; rhodium; adipic acid derivative; ester; palladium; air pollution control; carbon footprint; carbonylation; catalysis; chemical modification; Note; oxidation; physical chemistry; priority journal; reaction analysis; reaction duration (chemistry); stoichiometry; Adipates; Catalysis; Esters; Nitrous Oxide; Palladium",,"1,3 butadiene, 106-99-0, 25339-57-5; adipic acid, 124-04-9; cyclohexanol, 108-93-0; cyclohexanone, 108-94-1; nitrous oxide, 10024-97-2; rhodium, 7440-16-6; Adipates; Esters; Nitrous Oxide; Palladium",,,,,,,,,,,,,,"Musser, M.T., (2005) Ullmann’S Encyclopedia of Industrial Chemistry, , Wiley; Bertleff, W., Roeper, M., Sava, X., (2012) Ullmann’S Encyclopedia of Industrial Chemistry, , Wiley; Yang, J., (2019) Science, 366, p. 1514; Drent, E., Jager, W.W., (2000), Patent; von Nikolaus, K., (1970); Mormul, J., (2016) ACS Catal, 6, p. 2802; Tortajada, A., Ninokata, R., Martin, R., (2018) J. Am. Chem. Soc., 140, p. 2050; Gerbert, W., Magnussen, P., Schumacher, V., Praetorius, W., Reitz, H., (1982)","Schaub, T.; BASF SE, Carl-Bosch-Str. 8, Germany; email: thomas.schaub@basf.com",,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"31857467","English","Sci.",Note,"Final","",Scopus,2-s2.0-85077114825
"Mervis J.","7102025474;","To help the 'disadvantaged,' NIH refines its definition",2019,"Science","366","6472",,"1430","",,1,"10.1126/science.366.6472.1430","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077113788&doi=10.1126%2fscience.366.6472.1430&partnerID=40&md5=6682adbaf33aab80940b3dbfb897f5a1",,"Mervis, J.",[No abstract available],,"economically disadvantaged; funding; homelessness; human; lowest income group; medical research; minority group; national health organization; Note; poverty; priority journal; rural area; scientist; social environment; socioeconomics; workforce; economics; financial management; national health organization; United States; Biomedical Research; Financing, Organized; National Institutes of Health (U.S.); United States",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"31857458","English","Sci.",Note,"Final","",Scopus,2-s2.0-85077113788
"Collar A.G., Gulder T.","57212552935;35780697000;","Peptidic catalysts for macrocycle synthesis",2019,"Science","366","6472",,"1454","",,,"10.1126/science.aaz9325","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077088616&doi=10.1126%2fscience.aaz9325&partnerID=40&md5=e4de1d47bd6085df108b1da9e93be092","Department of Chemistry and Catalysis Research Center, Technical University Munich, Lichtenbergstrasse 4, Garching, 85748, Germany","Collar, A.G., Department of Chemistry and Catalysis Research Center, Technical University Munich, Lichtenbergstrasse 4, Garching, 85748, Germany; Gulder, T., Department of Chemistry and Catalysis Research Center, Technical University Munich, Lichtenbergstrasse 4, Garching, 85748, Germany",[No abstract available],,"aldehyde; heptapeptide; macrocyclic compound; peptide; aldol reaction; catalyst; chemical structure; cyclization; Note; priority journal; ring closing metathesis; synthesis; catalysis; Catalysis; Peptides",,"Peptides",,,"Deutsche Forschungsgemeinschaft, DFG","T.G. thanks the Emmy-Noether (GU 1134-3) and Heisenberg (GU 1134-4) programs of the German Research Foundation.",,,,,,,,,,"Berkessel, A., Gröger, H., (2005) Asymmetric Organocatalysis, , Wiley-VCH; Guichard, G., Huc, I., (2011) Chem. Commun., 47, p. 5933; Girvin, Z.C., (2019) Science, 366, p. 1528; Lewis, C.A., Miller, S.J., (2006) Angew. Chem. Int. Ed., 45, p. 5616; Müller, M.M., (2009) Angew. Chem. Int. Ed., 48, p. 922; Gulder, T., Baran, P.S., (2012) Nat. Prod. Rep., 29, p. 899; Girvin, Z.C., Gellman, S.H., (2018) J.Am. Chem. Soc., 140, p. 12476","Gulder, T.; Department of Chemistry and Catalysis Research Center, Lichtenbergstrasse 4, Germany; email: tanja.gulder@tum.de",,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"31857472","English","Sci.",Note,"Final","",Scopus,2-s2.0-85077088616
"Stokstad E., Wadman M., Pennisi E., Malakoff D.","8124594400;57191750870;57208646281;7101903090;","Breakdowns of the year",2019,"Science","366","6472",,"1442","1443",,1,"10.1126/science.366.6472.1442","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077033368&doi=10.1126%2fscience.366.6472.1442&partnerID=40&md5=60187c18be9e6d52f4925496b8fb14fd",,"Stokstad, E.; Wadman, M.; Pennisi, E.; Malakoff, D.",[No abstract available],,"agriculture; bird; Brazil; deforestation; epidemic; forest fire; habitat; human; measles; measles vaccination; nonhuman; Note; prescribed burning; priority journal; shorebird; species extinction",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"31857464","English","Sci.",Note,"Final","",Scopus,2-s2.0-85077033368
"Khan F.A.","57212549547;","Learning to teach",2019,"Science","366","6472",,"1574","",,,"10.1126/science.366.6472.1574","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077033190&doi=10.1126%2fscience.366.6472.1574&partnerID=40&md5=d4a0da9cc75f7083b51c5553f64e1296",,"Khan, F.A.",[No abstract available],,"attention; brainstorming; human; learning; Note; priority journal; student; teacher; teaching; university",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"31857489","English","Sci.",Note,"Final","All Open Access, Bronze",Scopus,2-s2.0-85077033190
"Kaiser J.","57217826902;","'Polygenic' analyses may sharpen disease risk predictions",2019,"Science","366","6472",,"1431","",,2,"10.1126/science.366.6472.1431","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077020188&doi=10.1126%2fscience.366.6472.1431&partnerID=40&md5=9489f09bd7c246d2edeadf6f74ba51e3",,"Kaiser, J.",[No abstract available],,"breast cancer; cancer risk; colorectal cancer; familial hypercholesterolemia; gene mutation; genetic analysis; genetic counseling; genetic risk score; genetic variability; heart disease; hereditary nonpolyposis colorectal cancer; human; mastectomy; mutational analysis; Note; ovariectomy; ovary cancer; personalized medicine; predation risk; priority journal; tumor suppressor gene; breast tumor; female; genetic predisposition; genetic screening; genetics; multifactorial inheritance; ovary tumor; risk; Breast Neoplasms; Female; Genes, BRCA1; Genes, BRCA2; Genetic Predisposition to Disease; Genetic Testing; Humans; Multifactorial Inheritance; Ovarian Neoplasms; Risk",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"31857459","English","Sci.",Note,"Final","",Scopus,2-s2.0-85077020188
