Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Tradenames,Manufacturers,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,References,Correspondence Address,Editors,Sponsors,Publisher,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
[No author name available],[No author id available],"Climate outlook looking much the same, or even worse",2011,"Science","334","6063",,"1616","",,3,"10.1126/science.334.6063.1616-a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922714848&doi=10.1126%2fscience.334.6063.1616-a&partnerID=40&md5=91a00f0a18f2e6ff927044af5d3e43c7",,"",[No abstract available],,"catastrophic event; climate modeling; conference proceeding; glaciology; global warming; Intergovernmental Panel on Climate Change; permafrost; climate; conference paper; geography; glacier; oceanography; priority journal; California; San Francisco [California]; United States",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Science",Conference Paper,"Final","",Scopus,2-s2.0-84922714848
"Normile D., Kerr R.A.","7102993935;57196586790;","A disaster and a warning - But of what?",2011,"Science","334","6063",,"1634","",,1,"10.1126/science.334.6063.1634","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856207441&doi=10.1126%2fscience.334.6063.1634&partnerID=40&md5=6a13cb852a8c3e3875e56015c86c41c7",,"Normile, D.; Kerr, R.A.",[No abstract available],,"hydrogen; disaster planning; earthquake; Japan; natural disaster; note; nuclear energy; nuclear power plant; priority journal; radiation exposure; seashore; tsunami; article; disaster; earthquake; tsunami; Disaster Planning; Disasters; Earthquakes; Japan; Tsunamis",,"hydrogen, 12385-13-6, 1333-74-0",,,,,,,,,,,,,,,"Normile, D.",,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"22194551","English","Science",Note,"Final","",Scopus,2-s2.0-84856207441
"Linsky J.L.","35465341400;","Voyagers of discovery",2011,"Science","334","6063",,"1647","1648",,,"10.1126/science.1200166","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84455202328&doi=10.1126%2fscience.1200166&partnerID=40&md5=4b03b8e975a5bcce79a9e7663e48a195","JILA, University of Colorado, National Institute for Science and Technology, Boulder, CO 80309-0440, United States","Linsky, J.L., JILA, University of Colorado, National Institute for Science and Technology, Boulder, CO 80309-0440, United States","Observations by the Voyager spacecraft are providing a clear view of the hydrogen emission of the Milky Way.",,"hydrogen; backscatter; cosmology; emission inventory; extraterrestrial matter; hydrogen; radiative transfer; Rayleigh number; solar radiation; solar system; spacecraft; ultraviolet radiation; astronomy; atmosphere; atmospheric pressure; priority journal; short survey; space flight; spectrometer",,"hydrogen, 12385-13-6, 1333-74-0",,,,,,,,,,,,,,"Lallement, R., Quémerais, E., Bertaux, J.-L., Sandel, B.R., Izmodenov, V., (2011) Science, 334, p. 1665. , 11.1026/science.1197340; Stone, E.C., (2005) Science, 309, p. 2017; Stone, E.C., (2006) Nature, 454, p. 71; Hayes, M., (2010) Nature, 464, p. 562; Hester, J.J., (1996) Astron. J., 111, p. 2349; Stern, S.A., (2008) Space Sci. Rev., 140, p. 155; http://voyager.jpl.nasa.gov/where/index.html","Linsky, J.L.; JILA, University of Colorado, National Institute for Science and Technology, Boulder, CO 80309-0440, United States; email: jlinsky@jilau1.colorado.edu",,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Science",Short Survey,"Final","",Scopus,2-s2.0-84455202328
"Kerr R.A.","57196586790;","Snapshots from the meeting",2011,"Science","334","6063",,"1617","",,,"10.1126/science.334.6063.1617-a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84455194408&doi=10.1126%2fscience.334.6063.1617-a&partnerID=40&md5=3a71f7ffce76eaa23cf9fec299e5e275",,"Kerr, R.A.",[No abstract available],,"bioenergy; energy consumption; energy resource; note; priority journal; sea",,,,,,,,,,,,,,,,,"Kerr, R.A.",,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Science",Note,"Final","",Scopus,2-s2.0-84455194408
[No author name available],[No author id available],"A vesta core and a magnetic field, too?",2011,"Science","334","6063",,"1616","1617",,,"10.1126/science.334.6063.1616-b","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84455194398&doi=10.1126%2fscience.334.6063.1616-b&partnerID=40&md5=4df9d6c22665ff58b13cab11b37af483",,"",[No abstract available],,"asteroid; gravity field; magnetic field; magnetization; spacecraft; astronomy; conference paper; magnetic field; priority journal; space flight; California; Pasadena; United States",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Science",Conference Paper,"Final","",Scopus,2-s2.0-84455194398
"Miller G.","34974510500;","New hope for a devastating neurological disorder",2011,"Science","334","6063",,"1615","",,1,"10.1126/science.334.6063.1615","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84455194390&doi=10.1126%2fscience.334.6063.1615&partnerID=40&md5=81c716bd8bd8c17d700c57ca8ff23ac2",,"Miller, G.",[No abstract available],,"irinotecan; membrane protein; protein ube3a; unclassified drug; camptothecin; drug derivative; topotecan; UBE3A protein, human; ubiquitin protein ligase; balance disorder; behavior disorder; cancer cell; cognitive defect; Down syndrome; fragile X syndrome; gene deletion; gene function; gene mutation; human; intellectual impairment; motor dysfunction; neurologic disease; nonhuman; note; priority journal; Rett syndrome; spinal cord nerve cell; animal; brain; cytology; drug effect; drug screening; gene expression regulation; gene therapy; genetics; happy puppet syndrome; metabolism; mouse; nerve cell; physiology; transcription initiation; Angelman Syndrome; Animals; Brain; Camptothecin; Drug Evaluation, Preclinical; Gene Expression Regulation; Gene Therapy; Humans; Mice; Neurons; Topotecan; Transcriptional Activation; Ubiquitin-Protein Ligases",,"irinotecan, 100286-90-6; camptothecin, 7689-03-4; topotecan, 119413-54-6, 123948-87-8; ubiquitin protein ligase, 134549-57-8; Camptothecin, 7689-03-4; Topotecan, 123948-87-8; UBE3A protein, human; Ubiquitin-Protein Ligases, 6.3.2.19; irinotecan, 100286-90-6",,,,,,,,,,,,,,,"Miller, G.",,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,"22194537","English","Science",Note,"Final","",Scopus,2-s2.0-84455194390
"Alberts B.","57225692348;","Retraction",2011,"Science","334","6063",,"1636","",,38,"10.1126/science.334.6063.1636-a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84455194376&doi=10.1126%2fscience.334.6063.1636-a&partnerID=40&md5=3ef75e9618dd893bd1fbc1ff9e6eb669",,"Alberts, B.",[No abstract available],,"erratum; priority journal; retracted article",,,,,,,,,,,,,,,,"Lombardi, V.C., (2009) Science, 326, p. 585. , 10.1126/science.1179052; Simmons, G., (2011) Science, 334, p. 814. , 10.1126/science.1213841; Silverman, R.H., (2011) Science, 334, p. 176. , 10.1126/science.1212182; Cohen, J., (2011) ScienceInsider, , http://scim.ag/_Mikovits, 4 October","Alberts, B.",,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Science",Erratum,"Final","All Open Access, Bronze",Scopus,2-s2.0-84455194376
"Şekercioǧlu Ç.H., Anderson S., Akçay E., Bilgin R.","55890928700;55462574100;12544970300;16400927700;","Turkey's rich natural heritage under assault",2011,"Science","334","6063",,"1637","1639",,19,"10.1126/science.334.6063.1637-b","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84455194347&doi=10.1126%2fscience.334.6063.1637-b&partnerID=40&md5=cda0d55851b052728d57a9cbfe5527a5","Department of Biology, University of Utah, Salt Lake City, UT 84112, United States; KuzeyDoǧa Derneǧi, Ismail Aytemiz Caddesi 161/2, 36200 Kars, Turkey; Environmental Science and Resource Management Program, Pacific Institute for Restoration Ecology, California State University, Channel Islands, Camarillo, CA 93012-8599, United States; Department of Ecology and Evolutionary Biology, Princeton University, Princeton, NJ 08544, United States; Institute of Environmental Sciences, Boǧaziçi University, Istanbul, 34342, Turkey","Şekercioǧlu, Ç.H., Department of Biology, University of Utah, Salt Lake City, UT 84112, United States, KuzeyDoǧa Derneǧi, Ismail Aytemiz Caddesi 161/2, 36200 Kars, Turkey; Anderson, S., Environmental Science and Resource Management Program, Pacific Institute for Restoration Ecology, California State University, Channel Islands, Camarillo, CA 93012-8599, United States; Akçay, E., Department of Ecology and Evolutionary Biology, Princeton University, Princeton, NJ 08544, United States; Bilgin, R., Institute of Environmental Sciences, Boǧaziçi University, Istanbul, 34342, Turkey",[No abstract available],,"biodiversity; conservation biology; economic development; environmental protection; human; letter; priority journal; Turkey (republic); wildlife conservation",,,,,,,,,,,,,,,,"Şekercioǧlu, Ç.H., (2011) Biol. Conserv., 144, p. 2752; (2011) Letter to the Ministries, , www.tabiatkanunu.wordpress.com/english/, Nature Law Watch Initiative; (2010) Final Blow to the Nature of Turkey: Nature Conservation Draft Law, , www.iucn.org/about/union/commissions/wcpa/wcpa_focus/?6503/ FINAL-BLOW-TO-THE-NATURE-OF-TURKEY-NATURE-CONSERVATION-DRAFT-LAW, Nature Law Watch Initiative; Gibbons, F., Moore, L., Turkey's great leap forward risks cultural and environmental bankruptcy (2011) The Guardian, , www.guardian.co.uk/world/2011/may/29/turkey-nuclear-hydro-power- development, 29 May; Maden kanununda ve bazi kanunlarda deǧişiklik yapilmasina dair kanun No. 5995 (2010) Resmi Gazete, , www.resmigazete.gov.tr/eskiler/2010/06/20100624-1.htm, Republic of Turkey, 27621 24 June [in Turkish]; Sulak alanlarin korunmasiyönetmeliǧinde degisiklik yapilmasina dair yönetmelik (2010) Resmi Gazete, , www.resmigazete.gov.tr/eskiler/2010/08/20100826-1.htm, Republic of Turkey, 27685 26 August [in Turkish]; (2011) Dam Construction in Turkey and Its Impact on Economic, Cultural and Social Rights, , CounterCurrent-GegenStrömung, 14 March; Doǧan, Y.P., Turkey's civil society, EU worry about nature bill (2010) Sunday's Zaman, , www.sundayszaman.com/sunday/newsDetail_getNewsById.action?newsId=227502, 21 November; Anayasa Mahkemesi karari 2011/75 (2011) Resmi Gazete, , www.resmigazete.gov.tr/eskiler/2011/07/20110723-16.htm, Republic of Turkey, 28003 23 July [in Turkish]; (2010) Yale Environmental Performance Index, , www.epi.yale.edu/home; (2008) Environmental Performance Reviews, Turkey, , OECD, OECD, Paris; Hattam, J., Big builders to lead Turkish environmental ministries (2011) Treehugger, , 8 July; Tolunay, D., Sadece aǧaç dikerek iklim deǧişikliǧ iyle mücadele edilmez (2011) Milliyet, , http://ekonomi.milliyet.com.tr/-sadece-agac-dikerek-iklimdegisikligiyle- mucadele-edilmez-/ekonomi/ekonomidetay/13.12.2011/1475070/default.htm, 13 December [in Turkish]","Şekercioǧlu, Ç.H.; Department of Biology, University of Utah, Salt Lake City, UT 84112, United States; email: c.s@utah.edu",,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Science",Letter,"Final","",Scopus,2-s2.0-84455194347
"Stone R.","57220774508;","A very big bang (Science (586))",2011,"Science","334","6063",,"1639","",,,"10.1126/science.334.6063.1639","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84455194329&doi=10.1126%2fscience.334.6063.1639&partnerID=40&md5=93842124c289f296d15e21d888092a08",,"Stone, R.",[No abstract available],,"erratum; error; priority journal",,,,,,,,,,,,,,,,,"Stone, R.",,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Science",Erratum,"Final","",Scopus,2-s2.0-84455194329
"Kupferschmidt K.","37095697200;","Sharp insights and a sharp tongue (Science (589))",2011,"Science","334","6063",,"1639","",,,"10.1126/science.334.6063.1639","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84455194320&doi=10.1126%2fscience.334.6063.1639&partnerID=40&md5=86101bb9ccbdc366d3f2179bf7ba2608",,"Kupferschmidt, K.",[No abstract available],,"erratum; error; priority journal",,,,,,,,,,,,,,,,,"Kupferschmidt, K.",,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Science",Erratum,"Final","",Scopus,2-s2.0-84455194320
